populationId,TN,ADAP_E,PD1P_E,MDAP_E,y,EM-FL,FL-SH,FL-SD,generationId,IP
1,1,,0.404761904761905,0.291666666666667,-11.831184,1.184,1.184,1.184,1,FALSE
1,2,,0.270833333333333,0.170731707317073,-11.831184,1.184,1.184,1.184,1,FALSE
1,3,,0.145454545454545,0.0777777777777778,-11.831184,1.184,1.184,1.184,1,FALSE
1,4,,0.148148148148148,0.170731707317073,-11.831184,1.184,1.184,1.184,1,FALSE
1,5,,0.0555555555555556,0.0444444444444444,-11.831184,1.184,1.184,1.184,1,FALSE
1,6,,-0.134328358208955,0.010989010989011,-11.831184,1.184,1.184,1.184,1,FALSE
1,7,,0.27906976744186,0.113924050632911,-11.831184,1.184,1.184,1.184,1,FALSE
1,8,,0.0980392156862745,0.130952380952381,-11.831184,1.184,1.184,1.184,1,FALSE
1,9,,0.0714285714285714,0.127906976744186,-11.831184,1.184,1.184,1.184,1,FALSE
2,1,,0.238095238095238,0.222222222222222,-7.483033,1.053,0.947,1.053,1,FALSE
2,2,,0.125,0.109756097560976,-7.483033,1.053,0.947,1.053,1,FALSE
2,3,,0.0181818181818182,0.0111111111111111,-7.483033,1.053,0.947,1.053,1,FALSE
2,4,,0.0185185185185185,0.0975609756097561,-7.483033,1.053,0.947,1.053,1,FALSE
2,5,,-0.0555555555555556,-0.0333333333333333,-7.483033,1.053,0.947,1.053,1,FALSE
2,6,,-0.223880597014925,-0.043956043956044,-7.483033,1.053,0.947,1.053,1,FALSE
2,7,,0.13953488372093,0.0253164556962025,-7.483033,1.053,0.947,1.053,1,FALSE
2,8,,-0.0392156862745098,0.0595238095238095,-7.483033,1.053,0.947,1.053,1,FALSE
2,9,,-0.0714285714285714,0.0697674418604651,-7.483033,1.053,0.947,1.053,1,FALSE
3,1,,-0.0714285714285714,0.0277777777777778,-13.131046,0.74,1.009,0.872,1,FALSE
3,2,,-0.166666666666667,-0.0487804878048781,-13.131046,0.74,1.009,0.872,1,FALSE
3,3,,-0.236363636363636,-0.144444444444444,-13.131046,0.74,1.009,0.872,1,FALSE
3,4,,-0.203703703703704,-0.0731707317073171,-13.131046,0.74,1.009,0.872,1,FALSE
3,5,,-0.296296296296296,-0.2,-13.131046,0.74,1.009,0.872,1,FALSE
3,6,,-0.417910447761194,-0.208791208791209,-13.131046,0.74,1.009,0.872,1,FALSE
3,7,,-0.13953488372093,-0.189873417721519,-13.131046,0.74,1.009,0.872,1,FALSE
3,8,,-0.274509803921569,-0.142857142857143,-13.131046,0.74,1.009,0.872,1,FALSE
3,9,,-0.321428571428571,-0.0930232558139535,-13.131046,0.74,1.009,0.872,1,FALSE
4,1,,0.0476190476190476,0.111111111111111,-8.985109,0.865,1.053,0.865,1,FALSE
4,2,,-0.0625,0,-8.985109,0.865,1.053,0.865,1,FALSE
4,3,,-0.127272727272727,-0.0888888888888889,-8.985109,0.865,1.053,0.865,1,FALSE
4,4,,-0.111111111111111,-0.024390243902439,-8.985109,0.865,1.053,0.865,1,FALSE
4,5,,-0.203703703703704,-0.155555555555556,-8.985109,0.865,1.053,0.865,1,FALSE
4,6,,-0.343283582089552,-0.153846153846154,-8.985109,0.865,1.053,0.865,1,FALSE
4,7,,-0.0465116279069768,-0.10126582278481,-8.985109,0.865,1.053,0.865,1,FALSE
4,8,,-0.176470588235294,-0.0714285714285714,-8.985109,0.865,1.053,0.865,1,FALSE
4,9,,-0.214285714285714,-0.0348837209302326,-8.985109,0.865,1.053,0.865,1,FALSE
5,1,,0.261904761904762,0.208333333333333,-7.410807,1.1,0.725,0.783,1,FALSE
5,2,,0.145833333333333,0.0975609756097561,-7.410807,1.1,0.725,0.783,1,FALSE
5,3,,0.0363636363636364,-0.0111111111111111,-7.410807,1.1,0.725,0.783,1,FALSE
5,4,,0.037037037037037,0.0731707317073171,-7.410807,1.1,0.725,0.783,1,FALSE
5,5,,-0.0555555555555556,-0.0555555555555556,-7.410807,1.1,0.725,0.783,1,FALSE
5,6,,-0.208955223880597,-0.054945054945055,-7.410807,1.1,0.725,0.783,1,FALSE
5,7,,0.162790697674419,0.0126582278481013,-7.410807,1.1,0.725,0.783,1,FALSE
5,8,,-0.0196078431372549,0.0357142857142857,-7.410807,1.1,0.725,0.783,1,FALSE
5,9,,-0.0535714285714286,0.0465116279069768,-7.410807,1.1,0.725,0.783,1,FALSE
6,1,,0.142857142857143,0.152777777777778,-6.987845,0.947,1.069,0.873,1,FALSE
6,2,,0.0416666666666667,0.0487804878048781,-6.987845,0.947,1.069,0.873,1,FALSE
6,3,,-0.0545454545454545,-0.0555555555555556,-6.987845,0.947,1.069,0.873,1,FALSE
6,4,,-0.037037037037037,0.024390243902439,-6.987845,0.947,1.069,0.873,1,FALSE
6,5,,-0.12962962962963,-0.111111111111111,-6.987845,0.947,1.069,0.873,1,FALSE
6,6,,-0.283582089552239,-0.10989010989011,-6.987845,0.947,1.069,0.873,1,FALSE
6,7,,0.0465116279069768,-0.0506329113924051,-6.987845,0.947,1.069,0.873,1,FALSE
6,8,,-0.0980392156862745,-0.0238095238095238,-6.987845,0.947,1.069,0.873,1,FALSE
6,9,,-0.142857142857143,0.0116279069767442,-6.987845,0.947,1.069,0.873,1,FALSE
7,1,,0.380952380952381,0.305555555555556,-11.750778,1.2,0.873,1.2,1,FALSE
7,2,,0.25,0.170731707317073,-11.750778,1.2,0.873,1.2,1,FALSE
7,3,,0.127272727272727,0.0888888888888889,-11.750778,1.2,0.873,1.2,1,FALSE
